// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 27 benchmark(s) in total *****
// ***** Building 2 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:06 (6.33 sec)   *****
// Found 27 benchmarks:
//   Kyber_Benchmarking.KeyGen: Job-HRFCSV(Toolchain=InProcessNoEmitToolchain, InvocationCount=1, UnrollFactor=1) [AlgorithmName=Kyber1024]
//   Kyber_Benchmarking.Encaps: Job-HRFCSV(Toolchain=InProcessNoEmitToolchain, InvocationCount=1, UnrollFactor=1) [AlgorithmName=Kyber1024]
//   Kyber_Benchmarking.Decaps: Job-HRFCSV(Toolchain=InProcessNoEmitToolchain, InvocationCount=1, UnrollFactor=1) [AlgorithmName=Kyber1024]
//   Kyber_Benchmarking.KeyGen: Job-BOEMXS(Runtime=.NET 8.0, InvocationCount=1, IterationCount=100, UnrollFactor=1) [AlgorithmName=Kyber1024]
//   Kyber_Benchmarking.Encaps: Job-BOEMXS(Runtime=.NET 8.0, InvocationCount=1, IterationCount=100, UnrollFactor=1) [AlgorithmName=Kyber1024]
//   Kyber_Benchmarking.Decaps: Job-BOEMXS(Runtime=.NET 8.0, InvocationCount=1, IterationCount=100, UnrollFactor=1) [AlgorithmName=Kyber1024]
//   Kyber_Benchmarking.KeyGen: DefaultJob(InvocationCount=1, UnrollFactor=1) [AlgorithmName=Kyber1024]
//   Kyber_Benchmarking.Encaps: DefaultJob(InvocationCount=1, UnrollFactor=1) [AlgorithmName=Kyber1024]
//   Kyber_Benchmarking.Decaps: DefaultJob(InvocationCount=1, UnrollFactor=1) [AlgorithmName=Kyber1024]
//   Kyber_Benchmarking.KeyGen: Job-HRFCSV(Toolchain=InProcessNoEmitToolchain, InvocationCount=1, UnrollFactor=1) [AlgorithmName=Kyber512]
//   Kyber_Benchmarking.Encaps: Job-HRFCSV(Toolchain=InProcessNoEmitToolchain, InvocationCount=1, UnrollFactor=1) [AlgorithmName=Kyber512]
//   Kyber_Benchmarking.Decaps: Job-HRFCSV(Toolchain=InProcessNoEmitToolchain, InvocationCount=1, UnrollFactor=1) [AlgorithmName=Kyber512]
//   Kyber_Benchmarking.KeyGen: Job-BOEMXS(Runtime=.NET 8.0, InvocationCount=1, IterationCount=100, UnrollFactor=1) [AlgorithmName=Kyber512]
//   Kyber_Benchmarking.Encaps: Job-BOEMXS(Runtime=.NET 8.0, InvocationCount=1, IterationCount=100, UnrollFactor=1) [AlgorithmName=Kyber512]
//   Kyber_Benchmarking.Decaps: Job-BOEMXS(Runtime=.NET 8.0, InvocationCount=1, IterationCount=100, UnrollFactor=1) [AlgorithmName=Kyber512]
//   Kyber_Benchmarking.KeyGen: DefaultJob(InvocationCount=1, UnrollFactor=1) [AlgorithmName=Kyber512]
//   Kyber_Benchmarking.Encaps: DefaultJob(InvocationCount=1, UnrollFactor=1) [AlgorithmName=Kyber512]
//   Kyber_Benchmarking.Decaps: DefaultJob(InvocationCount=1, UnrollFactor=1) [AlgorithmName=Kyber512]
//   Kyber_Benchmarking.KeyGen: Job-HRFCSV(Toolchain=InProcessNoEmitToolchain, InvocationCount=1, UnrollFactor=1) [AlgorithmName=Kyber768]
//   Kyber_Benchmarking.Encaps: Job-HRFCSV(Toolchain=InProcessNoEmitToolchain, InvocationCount=1, UnrollFactor=1) [AlgorithmName=Kyber768]
//   Kyber_Benchmarking.Decaps: Job-HRFCSV(Toolchain=InProcessNoEmitToolchain, InvocationCount=1, UnrollFactor=1) [AlgorithmName=Kyber768]
//   Kyber_Benchmarking.KeyGen: Job-BOEMXS(Runtime=.NET 8.0, InvocationCount=1, IterationCount=100, UnrollFactor=1) [AlgorithmName=Kyber768]
//   Kyber_Benchmarking.Encaps: Job-BOEMXS(Runtime=.NET 8.0, InvocationCount=1, IterationCount=100, UnrollFactor=1) [AlgorithmName=Kyber768]
//   Kyber_Benchmarking.Decaps: Job-BOEMXS(Runtime=.NET 8.0, InvocationCount=1, IterationCount=100, UnrollFactor=1) [AlgorithmName=Kyber768]
//   Kyber_Benchmarking.KeyGen: DefaultJob(InvocationCount=1, UnrollFactor=1) [AlgorithmName=Kyber768]
//   Kyber_Benchmarking.Encaps: DefaultJob(InvocationCount=1, UnrollFactor=1) [AlgorithmName=Kyber768]
//   Kyber_Benchmarking.Decaps: DefaultJob(InvocationCount=1, UnrollFactor=1) [AlgorithmName=Kyber768]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: Höchstleistung)
// **************************
// Benchmark: Kyber_Benchmarking.KeyGen: Job-HRFCSV(Toolchain=InProcessNoEmitToolchain, InvocationCount=1, UnrollFactor=1) [AlgorithmName=Kyber1024]
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.15.2
// Runtime=.NET 8.0.16 (8.0.1625.21506), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT VectorSize=256
// Job: Job-HRFCSV(Toolchain=InProcessNoEmitToolchain, InvocationCount=1, UnrollFactor=1)

WorkloadActual  67: 1 op, 442000.00 ns, 442.0000 us/op
WorkloadActual  68: 1 op, 632500.00 ns, 632.5000 us/op
WorkloadActual  69: 1 op, 827200.00 ns, 827.2000 us/op
WorkloadActual  70: 1 op, 579000.00 ns, 579.0000 us/op
WorkloadActual  71: 1 op, 551100.00 ns, 551.1000 us/op
WorkloadActual  72: 1 op, 430500.00 ns, 430.5000 us/op
WorkloadActual  73: 1 op, 555400.00 ns, 555.4000 us/op
WorkloadActual  74: 1 op, 672000.00 ns, 672.0000 us/op
WorkloadActual  75: 1 op, 570300.00 ns, 570.3000 us/op
WorkloadActual  76: 1 op, 557300.00 ns, 557.3000 us/op
WorkloadActual  77: 1 op, 393300.00 ns, 393.3000 us/op
WorkloadActual  78: 1 op, 554200.00 ns, 554.2000 us/op
WorkloadActual  79: 1 op, 691700.00 ns, 691.7000 us/op
WorkloadActual  80: 1 op, 401800.00 ns, 401.8000 us/op
WorkloadActual  81: 1 op, 657900.00 ns, 657.9000 us/op
WorkloadActual  82: 1 op, 542200.00 ns, 542.2000 us/op
WorkloadActual  83: 1 op, 623000.00 ns, 623.0000 us/op
WorkloadActual  84: 1 op, 681400.00 ns, 681.4000 us/op
WorkloadActual  85: 1 op, 387400.00 ns, 387.4000 us/op
WorkloadActual  86: 1 op, 607100.00 ns, 607.1000 us/op
WorkloadActual  87: 1 op, 548900.00 ns, 548.9000 us/op
WorkloadActual  88: 1 op, 745500.00 ns, 745.5000 us/op
WorkloadActual  89: 1 op, 487900.00 ns, 487.9000 us/op
WorkloadActual  90: 1 op, 439400.00 ns, 439.4000 us/op
WorkloadActual  91: 1 op, 464900.00 ns, 464.9000 us/op
WorkloadActual  92: 1 op, 579300.00 ns, 579.3000 us/op
WorkloadActual  93: 1 op, 567100.00 ns, 567.1000 us/op
WorkloadActual  94: 1 op, 428600.00 ns, 428.6000 us/op
WorkloadActual  95: 1 op, 405700.00 ns, 405.7000 us/op
WorkloadActual  96: 1 op, 362800.00 ns, 362.8000 us/op
WorkloadActual  97: 1 op, 619600.00 ns, 619.6000 us/op
WorkloadActual  98: 1 op, 588300.00 ns, 588.3000 us/op
WorkloadActual  99: 1 op, 473300.00 ns, 473.3000 us/op
WorkloadActual  100: 1 op, 454600.00 ns, 454.6000 us/op

// AfterActualRun
WorkloadResult   1: 1 op, 566900.00 ns, 566.9000 us/op
WorkloadResult   2: 1 op, 411100.00 ns, 411.1000 us/op
WorkloadResult   3: 1 op, 493700.00 ns, 493.7000 us/op
WorkloadResult   4: 1 op, 512000.00 ns, 512.0000 us/op
WorkloadResult   5: 1 op, 464400.00 ns, 464.4000 us/op
WorkloadResult   6: 1 op, 487600.00 ns, 487.6000 us/op
WorkloadResult   7: 1 op, 717500.00 ns, 717.5000 us/op
WorkloadResult   8: 1 op, 500200.00 ns, 500.2000 us/op
WorkloadResult   9: 1 op, 405900.00 ns, 405.9000 us/op
WorkloadResult  10: 1 op, 550600.00 ns, 550.6000 us/op
WorkloadResult  11: 1 op, 402100.00 ns, 402.1000 us/op
WorkloadResult  12: 1 op, 398100.00 ns, 398.1000 us/op
WorkloadResult  13: 1 op, 576500.00 ns, 576.5000 us/op
WorkloadResult  14: 1 op, 457100.00 ns, 457.1000 us/op
WorkloadResult  15: 1 op, 681800.00 ns, 681.8000 us/op
WorkloadResult  16: 1 op, 637800.00 ns, 637.8000 us/op
WorkloadResult  17: 1 op, 643000.00 ns, 643.0000 us/op
WorkloadResult  18: 1 op, 608600.00 ns, 608.6000 us/op
WorkloadResult  19: 1 op, 598500.00 ns, 598.5000 us/op
WorkloadResult  20: 1 op, 540800.00 ns, 540.8000 us/op
WorkloadResult  21: 1 op, 525500.00 ns, 525.5000 us/op
WorkloadResult  22: 1 op, 796900.00 ns, 796.9000 us/op
WorkloadResult  23: 1 op, 530500.00 ns, 530.5000 us/op
WorkloadResult  24: 1 op, 376500.00 ns, 376.5000 us/op
WorkloadResult  25: 1 op, 534100.00 ns, 534.1000 us/op
WorkloadResult  26: 1 op, 576400.00 ns, 576.4000 us/op
WorkloadResult  27: 1 op, 663100.00 ns, 663.1000 us/op
WorkloadResult  28: 1 op, 535000.00 ns, 535.0000 us/op
WorkloadResult  29: 1 op, 551300.00 ns, 551.3000 us/op
WorkloadResult  30: 1 op, 746800.00 ns, 746.8000 us/op
WorkloadResult  31: 1 op, 691300.00 ns, 691.3000 us/op
WorkloadResult  32: 1 op, 631400.00 ns, 631.4000 us/op
WorkloadResult  33: 1 op, 432600.00 ns, 432.6000 us/op
WorkloadResult  34: 1 op, 773100.00 ns, 773.1000 us/op
WorkloadResult  35: 1 op, 530700.00 ns, 530.7000 us/op
WorkloadResult  36: 1 op, 433500.00 ns, 433.5000 us/op
WorkloadResult  37: 1 op, 580300.00 ns, 580.3000 us/op
WorkloadResult  38: 1 op, 436700.00 ns, 436.7000 us/op
WorkloadResult  39: 1 op, 494400.00 ns, 494.4000 us/op
WorkloadResult  40: 1 op, 664500.00 ns, 664.5000 us/op
WorkloadResult  41: 1 op, 819600.00 ns, 819.6000 us/op
WorkloadResult  42: 1 op, 607800.00 ns, 607.8000 us/op
WorkloadResult  43: 1 op, 590500.00 ns, 590.5000 us/op
WorkloadResult  44: 1 op, 527500.00 ns, 527.5000 us/op
WorkloadResult  45: 1 op, 526700.00 ns, 526.7000 us/op
WorkloadResult  46: 1 op, 399400.00 ns, 399.4000 us/op
WorkloadResult  47: 1 op, 843000.00 ns, 843.0000 us/op
WorkloadResult  48: 1 op, 462700.00 ns, 462.7000 us/op
WorkloadResult  49: 1 op, 646600.00 ns, 646.6000 us/op
WorkloadResult  50: 1 op, 541000.00 ns, 541.0000 us/op
WorkloadResult  51: 1 op, 711800.00 ns, 711.8000 us/op
WorkloadResult  52: 1 op, 833800.00 ns, 833.8000 us/op
WorkloadResult  53: 1 op, 642900.00 ns, 642.9000 us/op
WorkloadResult  54: 1 op, 740000.00 ns, 740.0000 us/op
WorkloadResult  55: 1 op, 647700.00 ns, 647.7000 us/op
WorkloadResult  56: 1 op, 582200.00 ns, 582.2000 us/op
WorkloadResult  57: 1 op, 646600.00 ns, 646.6000 us/op
WorkloadResult  58: 1 op, 572700.00 ns, 572.7000 us/op
WorkloadResult  59: 1 op, 618700.00 ns, 618.7000 us/op
WorkloadResult  60: 1 op, 638600.00 ns, 638.6000 us/op
WorkloadResult  61: 1 op, 620200.00 ns, 620.2000 us/op
WorkloadResult  62: 1 op, 619600.00 ns, 619.6000 us/op
WorkloadResult  63: 1 op, 450000.00 ns, 450.0000 us/op
WorkloadResult  64: 1 op, 534500.00 ns, 534.5000 us/op
WorkloadResult  65: 1 op, 812600.00 ns, 812.6000 us/op
WorkloadResult  66: 1 op, 646000.00 ns, 646.0000 us/op
WorkloadResult  67: 1 op, 441800.00 ns, 441.8000 us/op
WorkloadResult  68: 1 op, 632300.00 ns, 632.3000 us/op
WorkloadResult  69: 1 op, 827000.00 ns, 827.0000 us/op
WorkloadResult  70: 1 op, 578800.00 ns, 578.8000 us/op
WorkloadResult  71: 1 op, 550900.00 ns, 550.9000 us/op
WorkloadResult  72: 1 op, 430300.00 ns, 430.3000 us/op
WorkloadResult  73: 1 op, 555200.00 ns, 555.2000 us/op
WorkloadResult  74: 1 op, 671800.00 ns, 671.8000 us/op
WorkloadResult  75: 1 op, 570100.00 ns, 570.1000 us/op
WorkloadResult  76: 1 op, 557100.00 ns, 557.1000 us/op
WorkloadResult  77: 1 op, 393100.00 ns, 393.1000 us/op
WorkloadResult  78: 1 op, 554000.00 ns, 554.0000 us/op
WorkloadResult  79: 1 op, 691500.00 ns, 691.5000 us/op
WorkloadResult  80: 1 op, 401600.00 ns, 401.6000 us/op
WorkloadResult  81: 1 op, 657700.00 ns, 657.7000 us/op
WorkloadResult  82: 1 op, 542000.00 ns, 542.0000 us/op
WorkloadResult  83: 1 op, 622800.00 ns, 622.8000 us/op
WorkloadResult  84: 1 op, 681200.00 ns, 681.2000 us/op
WorkloadResult  85: 1 op, 387200.00 ns, 387.2000 us/op
WorkloadResult  86: 1 op, 606900.00 ns, 606.9000 us/op
WorkloadResult  87: 1 op, 548700.00 ns, 548.7000 us/op
WorkloadResult  88: 1 op, 745300.00 ns, 745.3000 us/op
WorkloadResult  89: 1 op, 487700.00 ns, 487.7000 us/op
WorkloadResult  90: 1 op, 439200.00 ns, 439.2000 us/op
WorkloadResult  91: 1 op, 464700.00 ns, 464.7000 us/op
WorkloadResult  92: 1 op, 579100.00 ns, 579.1000 us/op
WorkloadResult  93: 1 op, 566900.00 ns, 566.9000 us/op
WorkloadResult  94: 1 op, 428400.00 ns, 428.4000 us/op
WorkloadResult  95: 1 op, 405500.00 ns, 405.5000 us/op
WorkloadResult  96: 1 op, 362600.00 ns, 362.6000 us/op
WorkloadResult  97: 1 op, 619400.00 ns, 619.4000 us/op
WorkloadResult  98: 1 op, 588100.00 ns, 588.1000 us/op
WorkloadResult  99: 1 op, 473100.00 ns, 473.1000 us/op
WorkloadResult  100: 1 op, 454400.00 ns, 454.4000 us/op
// GC:  0 0 0 4784 1
// Threading:  0 0 1

// AfterAll
// Benchmark Process 16444 has exited with code 0.

Mean = 569.579 μs, StdErr = 11.543 μs (2.03%), N = 100, StdDev = 115.429 μs
Min = 362.600 μs, Q1 = 483.975 μs, Median = 566.900 μs, Q3 = 642.925 μs, Max = 843.000 μs
IQR = 158.950 μs, LowerFence = 245.550 μs, UpperFence = 881.350 μs
ConfidenceInterval = [530.431 μs; 608.727 μs] (CI 99.9%), Margin = 39.148 μs (6.87% of Mean)
Skewness = 0.35, Kurtosis = 2.59, MValue = 3

// ** Remained 20 (74,1 %) benchmark(s) to run. Estimated finish 2025-07-05 0:09 (0h 1m from now) **
Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: Höchstleistung)
// **************************
// Benchmark: Kyber_Benchmarking.Encaps: DefaultJob(InvocationCount=1, UnrollFactor=1) [AlgorithmName=Kyber1024]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet Liboqs_implementation-Job-BOEMXS-2.dll --anonymousPipes 1148 1388 --benchmarkName "Liboqs_implementation.Kyber_Benchmarking.Encapsulation(AlgorithmName: \"Kyber1024\")" --job DefaultJob --benchmarkId 4 in C:\Users\olesc\Desktop\liboqs\liboqs-Kyber-.NET-integration-and-benchmarking\Liboqs_implementation\bin\Release\net8.0\Liboqs_implementation-Job-BOEMXS-2\bin\Release\net8.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.15.2
// Runtime=.NET 8.0.16 (8.0.1625.21506), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT VectorSize=256
// Job: DefaultJob(InvocationCount=1, UnrollFactor=1)

TEST
OverheadJitting  1: 1 op, 293900.00 ns, 293.9000 us/op
WorkloadJitting  1: 1 op, 602900.00 ns, 602.9000 us/op

OverheadWarmup   1: 1 op, 100.00 ns, 100.0000 ns/op
OverheadWarmup   2: 1 op, 200.00 ns, 200.0000 ns/op
OverheadWarmup   3: 1 op, 100.00 ns, 100.0000 ns/op
OverheadWarmup   4: 1 op, 200.00 ns, 200.0000 ns/op
OverheadWarmup   5: 1 op, 100.00 ns, 100.0000 ns/op

OverheadActual   1: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual   2: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual   3: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual   4: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual   5: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual   6: 1 op, 400.00 ns, 400.0000 ns/op
OverheadActual   7: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual   8: 1 op, 0.00 ns, 0.0000 ns/op
OverheadActual   9: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  10: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  11: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  12: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  13: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  14: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual  15: 1 op, 5700.00 ns, 5.7000 us/op
OverheadActual  16: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual  17: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  18: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual  19: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  20: 1 op, 300.00 ns, 300.0000 ns/op

OverheadWarmup   1: 1 op, 200.00 ns, 200.0000 ns/op
OverheadWarmup   2: 1 op, 200.00 ns, 200.0000 ns/op
OverheadWarmup   3: 1 op, 200.00 ns, 200.0000 ns/op
OverheadWarmup   4: 1 op, 100.00 ns, 100.0000 ns/op
OverheadWarmup   5: 1 op, 200.00 ns, 200.0000 ns/op
OverheadWarmup   6: 1 op, 200.00 ns, 200.0000 ns/op

// BeforeActualRun
WorkloadActual   1: 1 op, 393700.00 ns, 393.7000 us/op
WorkloadActual   2: 1 op, 254800.00 ns, 254.8000 us/op
WorkloadActual   3: 1 op, 344700.00 ns, 344.7000 us/op
WorkloadActual   4: 1 op, 374800.00 ns, 374.8000 us/op
WorkloadActual   5: 1 op, 798900.00 ns, 798.9000 us/op
WorkloadActual   6: 1 op, 341000.00 ns, 341.0000 us/op
WorkloadActual   7: 1 op, 382900.00 ns, 382.9000 us/op
WorkloadActual   8: 1 op, 409200.00 ns, 409.2000 us/op
WorkloadActual   9: 1 op, 419400.00 ns, 419.4000 us/op
WorkloadActual  10: 1 op, 425300.00 ns, 425.3000 us/op
WorkloadActual  11: 1 op, 256200.00 ns, 256.2000 us/op
WorkloadActual  12: 1 op, 268800.00 ns, 268.8000 us/op
WorkloadActual  13: 1 op, 247500.00 ns, 247.5000 us/op
WorkloadActual  14: 1 op, 250400.00 ns, 250.4000 us/op
WorkloadActual  15: 1 op, 407200.00 ns, 407.2000 us/op
WorkloadActual  16: 1 op, 352900.00 ns, 352.9000 us/op
WorkloadActual  17: 1 op, 272200.00 ns, 272.2000 us/op
WorkloadActual  18: 1 op, 349100.00 ns, 349.1000 us/op
WorkloadActual  19: 1 op, 255000.00 ns, 255.0000 us/op
WorkloadActual  20: 1 op, 275000.00 ns, 275.0000 us/op
WorkloadActual  21: 1 op, 557100.00 ns, 557.1000 us/op
WorkloadActual  22: 1 op, 446000.00 ns, 446.0000 us/op
WorkloadActual  23: 1 op, 456200.00 ns, 456.2000 us/op
WorkloadActual  24: 1 op, 254500.00 ns, 254.5000 us/op
WorkloadActual  25: 1 op, 256800.00 ns, 256.8000 us/op
WorkloadActual  26: 1 op, 256400.00 ns, 256.4000 us/op
WorkloadActual  27: 1 op, 266500.00 ns, 266.5000 us/op
WorkloadActual  28: 1 op, 437900.00 ns, 437.9000 us/op
WorkloadActual  29: 1 op, 406300.00 ns, 406.3000 us/op
WorkloadActual  30: 1 op, 260100.00 ns, 260.1000 us/op
WorkloadActual  31: 1 op, 287900.00 ns, 287.9000 us/op
WorkloadActual  32: 1 op, 298100.00 ns, 298.1000 us/op
WorkloadActual  33: 1 op, 473500.00 ns, 473.5000 us/op
WorkloadActual  34: 1 op, 278600.00 ns, 278.6000 us/op
WorkloadActual  35: 1 op, 312900.00 ns, 312.9000 us/op
WorkloadActual  36: 1 op, 288300.00 ns, 288.3000 us/op
WorkloadActual  37: 1 op, 284000.00 ns, 284.0000 us/op
WorkloadActual  38: 1 op, 288800.00 ns, 288.8000 us/op
WorkloadActual  39: 1 op, 330000.00 ns, 330.0000 us/op
WorkloadActual  40: 1 op, 308700.00 ns, 308.7000 us/op
WorkloadActual  41: 1 op, 318800.00 ns, 318.8000 us/op
WorkloadActual  42: 1 op, 254300.00 ns, 254.3000 us/op
WorkloadActual  43: 1 op, 254400.00 ns, 254.4000 us/op
WorkloadActual  44: 1 op, 419900.00 ns, 419.9000 us/op
WorkloadActual  45: 1 op, 334500.00 ns, 334.5000 us/op
WorkloadActual  46: 1 op, 344500.00 ns, 344.5000 us/op
WorkloadActual  47: 1 op, 362200.00 ns, 362.2000 us/op
WorkloadActual  48: 1 op, 257900.00 ns, 257.9000 us/op
WorkloadActual  49: 1 op, 292500.00 ns, 292.5000 us/op
WorkloadActual  50: 1 op, 393200.00 ns, 393.2000 us/op
WorkloadActual  51: 1 op, 308900.00 ns, 308.9000 us/op
WorkloadActual  52: 1 op, 292700.00 ns, 292.7000 us/op
WorkloadActual  53: 1 op, 332000.00 ns, 332.0000 us/op
WorkloadActual  54: 1 op, 327000.00 ns, 327.0000 us/op
WorkloadActual  55: 1 op, 306700.00 ns, 306.7000 us/op
WorkloadActual  56: 1 op, 278000.00 ns, 278.0000 us/op
WorkloadActual  57: 1 op, 287800.00 ns, 287.8000 us/op
WorkloadActual  58: 1 op, 259400.00 ns, 259.4000 us/op
WorkloadActual  59: 1 op, 283100.00 ns, 283.1000 us/op
WorkloadActual  60: 1 op, 268500.00 ns, 268.5000 us/op
WorkloadActual  61: 1 op, 253000.00 ns, 253.0000 us/op
WorkloadActual  62: 1 op, 259800.00 ns, 259.8000 us/op
WorkloadActual  63: 1 op, 267600.00 ns, 267.6000 us/op
WorkloadActual  64: 1 op, 314100.00 ns, 314.1000 us/op
WorkloadActual  65: 1 op, 376100.00 ns, 376.1000 us/op
WorkloadActual  66: 1 op, 287800.00 ns, 287.8000 us/op
WorkloadActual  67: 1 op, 316400.00 ns, 316.4000 us/op
WorkloadActual  68: 1 op, 276900.00 ns, 276.9000 us/op
WorkloadActual  69: 1 op, 247000.00 ns, 247.0000 us/op
WorkloadActual  70: 1 op, 254600.00 ns, 254.6000 us/op
WorkloadActual  71: 1 op, 383800.00 ns, 383.8000 us/op
WorkloadActual  72: 1 op, 345800.00 ns, 345.8000 us/op
WorkloadActual  73: 1 op, 314100.00 ns, 314.1000 us/op
WorkloadActual  74: 1 op, 346500.00 ns, 346.5000 us/op
WorkloadActual  75: 1 op, 301900.00 ns, 301.9000 us/op
WorkloadActual  76: 1 op, 429200.00 ns, 429.2000 us/op
WorkloadActual  77: 1 op, 377500.00 ns, 377.5000 us/op
WorkloadActual  78: 1 op, 293400.00 ns, 293.4000 us/op
WorkloadActual  79: 1 op, 286400.00 ns, 286.4000 us/op
WorkloadActual  80: 1 op, 283400.00 ns, 283.4000 us/op
WorkloadActual  81: 1 op, 256100.00 ns, 256.1000 us/op
WorkloadActual  82: 1 op, 300200.00 ns, 300.2000 us/op
WorkloadActual  83: 1 op, 269200.00 ns, 269.2000 us/op
WorkloadActual  84: 1 op, 382500.00 ns, 382.5000 us/op
WorkloadActual  85: 1 op, 391200.00 ns, 391.2000 us/op
WorkloadActual  86: 1 op, 425800.00 ns, 425.8000 us/op
WorkloadActual  87: 1 op, 425100.00 ns, 425.1000 us/op
WorkloadActual  88: 1 op, 458300.00 ns, 458.3000 us/op
WorkloadActual  89: 1 op, 703900.00 ns, 703.9000 us/op
WorkloadActual  90: 1 op, 445800.00 ns, 445.8000 us/op
WorkloadActual  91: 1 op, 554000.00 ns, 554.0000 us/op
WorkloadActual  92: 1 op, 478000.00 ns, 478.0000 us/op
WorkloadActual  93: 1 op, 459100.00 ns, 459.1000 us/op
WorkloadActual  94: 1 op, 437200.00 ns, 437.2000 us/op
WorkloadActual  95: 1 op, 373100.00 ns, 373.1000 us/op
WorkloadActual  96: 1 op, 550200.00 ns, 550.2000 us/op
WorkloadActual  97: 1 op, 938200.00 ns, 938.2000 us/op
WorkloadActual  98: 1 op, 531500.00 ns, 531.5000 us/op
WorkloadActual  99: 1 op, 790700.00 ns, 790.7000 us/op
WorkloadActual  100: 1 op, 396500.00 ns, 396.5000 us/op

// AfterActualRun
WorkloadResult   1: 1 op, 393500.00 ns, 393.5000 us/op
WorkloadResult   2: 1 op, 254600.00 ns, 254.6000 us/op
WorkloadResult   3: 1 op, 344500.00 ns, 344.5000 us/op
WorkloadResult   4: 1 op, 374600.00 ns, 374.6000 us/op
WorkloadResult   5: 1 op, 340800.00 ns, 340.8000 us/op
WorkloadResult   6: 1 op, 382700.00 ns, 382.7000 us/op
WorkloadResult   7: 1 op, 409000.00 ns, 409.0000 us/op
WorkloadResult   8: 1 op, 419200.00 ns, 419.2000 us/op
WorkloadResult   9: 1 op, 425100.00 ns, 425.1000 us/op
WorkloadResult  10: 1 op, 256000.00 ns, 256.0000 us/op
WorkloadResult  11: 1 op, 268600.00 ns, 268.6000 us/op
WorkloadResult  12: 1 op, 247300.00 ns, 247.3000 us/op
WorkloadResult  13: 1 op, 250200.00 ns, 250.2000 us/op
WorkloadResult  14: 1 op, 407000.00 ns, 407.0000 us/op
WorkloadResult  15: 1 op, 352700.00 ns, 352.7000 us/op
WorkloadResult  16: 1 op, 272000.00 ns, 272.0000 us/op
WorkloadResult  17: 1 op, 348900.00 ns, 348.9000 us/op
WorkloadResult  18: 1 op, 254800.00 ns, 254.8000 us/op
WorkloadResult  19: 1 op, 274800.00 ns, 274.8000 us/op
WorkloadResult  20: 1 op, 556900.00 ns, 556.9000 us/op
WorkloadResult  21: 1 op, 445800.00 ns, 445.8000 us/op
WorkloadResult  22: 1 op, 456000.00 ns, 456.0000 us/op
WorkloadResult  23: 1 op, 254300.00 ns, 254.3000 us/op
WorkloadResult  24: 1 op, 256600.00 ns, 256.6000 us/op
WorkloadResult  25: 1 op, 256200.00 ns, 256.2000 us/op
WorkloadResult  26: 1 op, 266300.00 ns, 266.3000 us/op
WorkloadResult  27: 1 op, 437700.00 ns, 437.7000 us/op
WorkloadResult  28: 1 op, 406100.00 ns, 406.1000 us/op
WorkloadResult  29: 1 op, 259900.00 ns, 259.9000 us/op
WorkloadResult  30: 1 op, 287700.00 ns, 287.7000 us/op
WorkloadResult  31: 1 op, 297900.00 ns, 297.9000 us/op
WorkloadResult  32: 1 op, 473300.00 ns, 473.3000 us/op
WorkloadResult  33: 1 op, 278400.00 ns, 278.4000 us/op
WorkloadResult  34: 1 op, 312700.00 ns, 312.7000 us/op
WorkloadResult  35: 1 op, 288100.00 ns, 288.1000 us/op
WorkloadResult  36: 1 op, 283800.00 ns, 283.8000 us/op
WorkloadResult  37: 1 op, 288600.00 ns, 288.6000 us/op
WorkloadResult  38: 1 op, 329800.00 ns, 329.8000 us/op
WorkloadResult  39: 1 op, 308500.00 ns, 308.5000 us/op
WorkloadResult  40: 1 op, 318600.00 ns, 318.6000 us/op
WorkloadResult  41: 1 op, 254100.00 ns, 254.1000 us/op
